LME_no;LME_name;Very High;High;Medium;Low;Total;Percentage_Very High;Percentage_High;Percentage_Medium;Percentage_Low
30;Agulhas Current;1737.75;2436.5;2369.75;1379;7923;21.93;30.75;29.91;17.41
32;Arabian Sea;630;816.25;1503.75;894.75;3844.75;16.39;21.23;39.11;23.27
34;Bay of Bengal;538.75;1284.5;2583.75;483;4890;11.02;26.27;52.84;9.88
12;Caribbean Sea;2782.75;3687.75;9352.75;4967.75;20791;13.38;17.74;44.98;23.89
16;East Brazil Shelf;177.5;220.25;139.25;490.25;1027.25;17.28;21.44;13.56;47.72
41;East Central Australian Shelf;5.5;5.5;24;104.75;139.75;3.94;3.94;17.17;74.96
47;East China Sea;106;226.75;141.25;23.5;497.5;21.31;45.58;28.39;4.72
4;Gulf of California;6;4.75;0.75;6.75;18.25;32.88;26.03;4.11;36.99
5;Gulf of Mexico;31.25;86.5;723.75;494.75;1336.25;2.34;6.47;54.16;37.03
35;Gulf of Thailand;105.5;159.75;366;23.5;654.75;16.11;24.40;55.90;3.59
38;Indonesian Sea;3883.75;6875.5;13116;1798.25;25673.5;15.13;26.78;51.09;7.00
10;Insular Pacific-Hawaiian;336.5;246.25;180.25;3215;3978;8.46;6.19;4.53;80.82
49;Kuroshio Current;412.25;588.25;559.75;9.5;1569.75;26.26;37.47;35.66;0.61
39;North Australian Shelf;25.5;14.75;157.25;1674;1871.5;1.36;0.79;8.40;89.45
17;North Brazil Shelf;0;0;3.75;122.75;126.5;0.00;0.00;2.96;97.04
40;Northeast Australian Shelf;66.75;288;4659.75;31300.5;36315;0.18;0.79;12.83;86.19
45;Northwest Australian Shelf;0;14.75;484.75;2343.25;2842.75;0.00;0.52;17.05;82.43
11;Pacific Central-American Coastal;36.25;136.25;312.5;29.5;514.5;7.05;26.48;60.74;5.73
33;Red Sea;916.75;1346;5229.75;4750;12242.5;7.49;10.99;42.72;38.80
31;Somali Coastal Current;880;1534.5;1275.25;151.25;3841;22.91;39.95;33.20;3.94
36;South China Sea;1668.5;2286.75;9297.5;129.5;13382.25;12.47;17.09;69.48;0.97
6;Southeast U.S. Continental Shelf;266.25;171;443.5;285.5;1166.25;22.83;14.66;38.03;24.48
37;Sulu-Celebes Sea;5796.25;6788;6083.75;1518.75;20186.75;28.71;33.63;30.14;7.52
44;West Central Australian Shelf;3.5;34.75;13.75;823;875;0.40;3.97;1.57;94.06
99;Pacific Warm Pool;272;1887.5;5260.5;11450;18870;1.44;10.00;27.88;60.68