LME Number;LME Name;Ratio value of Fishing subsidy to landed value;Ecological footprint or primary prod required (PPR);Marine trophic index (MTI): change in the average value of MTI in the 2000s from that in the 1950s  ;Fishing in Balance index (FiB): change in the average value of FIB in the 2000s from that in the 1950s   ;Stock status (number): number of stocks in the collapsed and overexploited stages as a % of the total number of stocks between 2000-2010;Stock status (biomass): catch biomass of stocks in the collapsed and overexploited stages as % of the total catch biomass between 2000-2010  ;Catch from bottom trawling gears as % of total catch;Rate of change of effective fishing effort ( kW) from the mean of the 1980s to the mean of the 2000s;% change in catch potential in the 2050s
1;East Bering Sea;0;0.17;-0.13;1.17;46.25;29.33;11.15;1 743 026;36.81
2;Gulf of Alaska;0.15;0.14;0.07;1.16;47.87;28.03;14.46;8 381 743;-15.32
3;California Current;0.12;0.13;0.13;1.64;52.39;11.49;7.5;9 799 772;-13.66
4;Gulf of California;0.14;0.04;-0.05;1.93;46.15;6.95;10.38;803 921;-8.34
5;Gulf of Mexico;0.11;0.06;0.06;0.67;50.59;44.21;27.46;9 651 794;-5.09
6;Southeast U.S. Continental Shelf;0.08;0.03;-0.07;-0.25;52.32;31.12;69.98;861 407;-14.51
7;Northeast U.S. Continental Shelf;0.1;0.18;-0.11;-0.32;70.6;47.86;50.67;15 978 532;-15.56
8;Scotian Shelf;0.29;0.07;-1.07;-2.33;64.44;47.33;20.04;15 755 009;1.55
9;Labrador - Newfoundland;0.17;0.09;-1.26;-3.41;59.55;28.04;53.33;1 319 182;19.5
10;Insular Pacific-Hawaiian;0.16;0.01;-0.48;-2.36;73.93;68.56;12.57;3 060 644;19.86
11;Pacific Central-American Coastal;0.09;0.05;-0.14;2.46;51.31;34.03;6.45;5 609 491;-3.57
12;Caribbean Sea;0.09;0.03;-0.37;0.38;53.97;25.27;19.56;8 419 253;-1.45
13;Humboldt Current;0.03;0.19;-0.58;1.87;56.68;9.67;1.79;8 218 267;-6.44
14;Patagonian Shelf;0.25;0.2;0.28;3.4;49.26;21.99;62.25;6 315 226;-5.63
15;South Brazil Shelf;0.29;0.05;0.24;1.8;37.15;31.89;47.6;3 782 796;-4.55
16;East Brazil Shelf;0.31;0.06;0.19;1.4;36.82;18.17;19.99;2 414 615;3.58
17;North Brazil Shelf;0.24;0.04;-0.02;1.48;37.8;14.39;43.12;4 244 746;-10.67
18;Canadian Eastern Arctic - West Greenland;0.06;0.11;-1.18;-2.66;60.11;12.1;65.72;5 690 151;10.87
19;Greenland Sea;0.57;0.92;-0.46;-0.85;60.85;51.64;17.16;-310 126;41.78
20;Barents Sea;0.8;0.24;-0.3;-0.85;57.38;47.03;20.74;8 366 554;214.94
21;Norwegian Sea;0.62;0.53;0;0.45;54.76;9.5;14.74;5 242 592;45.98
22;North Sea;0.19;0.41;-0.06;-0.18;61.11;39.06;37.56;10 816 970;7.55
23;Baltic Sea;0.75;0.17;-0.41;-0.2;56.92;3.88;2.34;22 776 902;11.4
24;Celtic-Biscay Shelf;0.17;0.31;-0.13;0.58;54.47;48.42;32.21;44 691 104;-0.92
25;Iberian Coastal;0.24;0.31;-0.01;-0.35;60.2;59.42;17.44;6 738 559;-6.59
26;Mediterranean Sea;0.14;0.14;-0.04;0.68;32.28;10.89;18.2;33 725 342;-14.53
27;Canary Current;0.17;0.18;-0.02;2.41;49.5;18.23;9.15;6 033 983;-4.3
28;Guinea Current;0.1;0.06;-0.03;1.72;40.83;17.98;15.63;15 474 117;-4.38
29;Benguela Current;0.19;0.13;0.43;1.81;51.88;60.05;11;-1 557 565;-0.01
30;Agulhas Current;0.11;0.06;0.58;1.81;50.77;15.01;13.24;10 971 939;11.64
31;Somali Coastal Current;0.08;0.01;0.07;0.92;52.81;22.94;4.13;3 756 822;14.6
32;Arabian Sea;0.31;0.17;0.03;1.78;32.06;10.5;17.11;24 329 676;-4.99
33;Red Sea;0.2;0.11;0.26;2.29;32.52;17.67;22.8;3 982 575;-7.65
34;Bay of Bengal;0.14;0.25;-0.03;2.13;23.53;7.04;11.63;128 945 675;2.43
35;Gulf of Thailand;0.17;0.46;0.41;2.55;23.54;7.68;25.51;7 759 858;-12.72
36;South China Sea;0.22;0.69;-0.02;1.65;35.8;9.04;22.22;10 415 054;-12.09
37;Sulu-Celebes Sea;0.31;0.44;-0.12;1.9;27.32;4.21;17.09;61 822 343;-6.11
38;Indonesian Sea;0.18;0.23;0.03;2.1;26.87;5.81;17.97;49 883 233;-26.75
39;North Australian Shelf;0.22;0.02;-0.31;0.89;30.17;20.79;36.21;297 907;-6.02
40;Northeast Australian Shelf;0.36;0.02;-0.43;-0.5;51.47;56.97;20.23;624 483;6.04
41;East Central Australian Shelf;0.22;0.01;-0.01;0.66;60.92;51.68;29.64;-1 404;21.61
42;Southeast Australian Shelf;0.22;0.01;-0.18;1.15;47.69;17.52;36.41;1 861 609;6.53
43;South West Australian Shelf;0.22;0.01;-0.43;0.53;36.82;15.81;29.46;1 284 043;15.77
44;West Central Australian Shelf;0.22;0.01;0.19;1.51;42.82;14.62;17.22;61 366;0.65
45;Northwest Australian Shelf;0.21;0.03;-0.1;1.84;31.01;11.1;25.88;585 995;3.06
46;New Zealand Shelf;0.02;0.26;0.72;4.1;53.63;33.33;58;1 507 816;-6.58
47;East China Sea;0.31;1.24;-0.08;0.86;48.56;15.26;33.51;5 848 689;-15.9
48;Yellow Sea;0.26;0.95;-0.14;0.89;46.29;8.43;32.18;2 005 531;2.97
49;Kuroshio Current;0.48;0.23;-0.12;-0.2;54.15;60.35;24.03;9 498 713;2.32
50;Sea of Japan;0.38;0.35;-0.1;0.18;40.84;43.58;17.63;6 206 344;-5.88
51;Oyashio Current;0.42;0.23;-0.15;0.38;30.29;36.42;11.72;607 927;5.41
52;Sea of Okhotsk;0.42;0.3;-0.14;0.73;30.71;47.78;11.51;2 038 986;21.61
53;West Bering Sea;0.38;0.1;-0.12;0.52;36.97;43.31;9.24;546 502;29.38
54;Northern Bering - Chukchi Seas;0;0;-0.01;-1.13;41.94;28.89;11.2;1 393 584;292.5
55;Beaufort Sea;0.03;0;0.02;-1.84;37.5;20.38;9.38;0;-20.75
56;East Siberian Sea;0;0;-0.03;0.43;33.33;22.61;2.5;0;-27.42
57;Laptev Sea;0;0;-0.02;-0.1;0;5.34;4.42;0;14.71
58;Kara Sea;0.73;0;-0.33;-3.45;60.94;54.64;36.37;77;14.64
59;Iceland Shelf and Sea;0.44;0.07;-0.49;-0.88;71.32;52.08;13.48;4 317 762;14.34
60;Faroe Plateau;0.09;1.28;-0.06;0.76;44.39;8.33;19.8;2 904;4.5
61;Antarctica;0.22;0;-1.2;1.18;65.52;0.08;0.99;119 245;7.24
62;Black Sea;0.12;0.06;-0.14;0.17;48.43;36.27;11.37;17 186 030;-0.1
63;Hudson Bay Complex;0.29;0;-0.12;-1.71;100;100;8.76;-76;-2.15
64;Central Arctic;0;0;-0.2;-1.82;87.5;62.57;32.19;1 036;0.12
65;Aleutian Islands;0;0;-0.99;-4.59;45.16;31.69;10.77;448 593;-8.63
66;Canadian High Arctic - North Greenland;0;0.02;-1.48;-4.96;58.33;61.56;32.59;305;4.73
