LME Code;LMEs;Index;MAR;FP;FIS;AO;NP;CP;CS;ECO;LE;LIV;TR;LSP;SP;ICO;CW;SPP;BD;HAB
30;Agulhas Current;61.69;0.39;61.26;62.07;49.79;57.52;50.45;80.78;98.94;92.26;85.58;25.81;46.85;47.26;55.46;64.04;80.15;84.64;89.14
65;Aleutian Islands;68.94;11.27;51.51;53.16;85.8;44.09;80.05;66.98;99.91;77.6;55.3;45.34;100;81.34;62.68;76.96;85.67;79.69;73.71
61;Antarctica;72.22;;54.67;54.67;;28.98;98.56;;82.7;82.7;;54.7;1.48;45.92;90.36;100;88.44;93.63;99.73
32;Arabian Sea;58.54;4.55;62.01;64.11;54.51;51.15;52.75;65.62;95.55;84.56;73.57;28.37;38.63;46.03;53.42;56.15;80.57;83.59;86.61
23;Baltic Sea;74.77;7.35;66.6;69.76;76.55;37.22;94.52;77.59;98.51;89.87;81.22;36;99.6;92.05;70.4;83.59;94.06;93.91;93.75
20;Barents Sea;70.52;44.68;50.02;46.51;80.35;19.92;87.93;100;91.11;88.55;85.99;28.81;96.17;82.1;68.04;85.3;87.72;92.25;96.77
34;Bay of Bengal;57.06;11.42;32.2;33.65;51.12;80.3;49.92;71.55;94.02;78.38;62.74;32.39;40.44;43.02;51.34;54.02;79.83;84.16;88.49
55;Beaufort Sea;69.79;70.15;61.22;58.19;84.1;50.65;91.83;58.07;99.98;87;74.03;28.75;50.19;59.88;69.59;87.95;89.09;88.46;87.84
29;Benguela Current;57.53;8.34;31;31.02;69.89;45.83;19.49;65.98;76.51;81.09;85.66;18.88;77.63;67.11;56.59;76.72;78.34;82.25;86.15
62;Black Sea;63.39;5.09;67.09;70.54;68.04;26.59;87.33;89.47;100;90.49;80.99;19.91;59.11;56.34;53.57;70.3;84.77;89.46;94.16
3;California Current;65.01;15.63;49.28;51.76;72.12;48.37;57.35;65.39;99.96;75.2;50.46;53.32;100;79.12;58.23;69.02;83.74;80.88;78.03
18;Canadian Eastern Arctic - West Greenland;75.52;90.47;65.86;63.16;85.92;52.92;96.15;55;100;94.34;88.69;31.18;61.14;66.65;72.18;91.02;90.14;91.79;93.45
66;Canadian High Arctic / North Greenland;72.96;90.47;65.25;61.63;84.79;52.92;96.03;55;100;92.41;84.83;27.33;47.87;59.97;72.08;91.36;90.2;91.65;93.11
27;Canary Current;63.4;0.45;72.2;72.25;56.22;31.44;35.56;46.38;89.22;90.68;92.15;45.31;71.01;59.07;47.13;64.59;79.04;82.49;85.92
12;Caribbean Sea;56.68;4.91;29.81;33.63;63.88;31.31;42.14;65.49;93.82;84.29;74.75;40.13;75.28;65.17;55.06;60.46;84.56;79.92;75.27
24;Celtic-Biscay Shelf;70.99;41.8;66.78;71;79.73;70.4;47.42;62.11;98.55;84.08;69.6;52.61;98.67;79.22;60.49;84.8;83.64;82.95;82.26
64;Central Arctic;71.86;48.98;53.16;51.15;81.08;28.87;94.69;78.19;99.07;93.15;87.23;24.31;73.66;72.73;71.8;87.2;88.54;92.18;95.81
1;East Bering Sea;68.84;10.98;50.69;52.28;85.28;42.5;80.63;68.32;99.91;78.23;56.55;43.98;99.73;81.4;63.07;77.11;85.68;80.22;74.77
16;East Brazil Shelf;65.55;4.09;54.91;64.55;62.36;13.57;85.89;93.66;100;79.87;59.74;30.23;100;77.58;55.15;70.36;81.59;87.04;92.5
41;East-Central Australian Shelf;75.81;11.04;45.92;57.57;90.08;56.24;57.97;91.03;99.98;95.62;91.25;56.48;99.75;86.35;72.95;87.91;86.43;90.43;94.44
47;East China Sea;64.23;61.42;49.45;28.62;72.46;64.56;67.8;75.62;99.63;89.08;78.53;28.19;60.64;59.43;58.21;50.76;82.06;85.23;88.41
56;East Siberian Sea;66.47;4;31.31;31.35;72.89;4.91;94.3;100;100;93.11;86.23;11.61;93.34;82.85;72.37;80.79;85.9;92.9;99.9
60;Faroe Plateau;64.56;98.82;73.86;66.05;88.05;7.83;43.94;55.83;90.72;88.22;85.72;43.09;15.02;39.69;64.34;87.63;82.65;88.82;94.99
19;Greenland Sea;80.75;97.89;67.8;66.84;88.22;40.33;92.67;;94.58;95.3;96.02;44.24;99.16;86.42;73.69;89.52;89.64;88.87;88.1
28;Guinea Current;51.19;0;62.9;62.9;49.14;40.86;27.63;47.75;84.05;79.1;74.14;13.7;41.98;49.62;57.26;59.27;77.59;71.96;66.33
2;Gulf of Alaska;69.36;40.24;56.29;55.63;84.97;47.32;85.84;62.6;99.94;82.23;64.52;37.17;75.49;70.78;66.08;82.37;87.35;84.01;80.66
4;Gulf of California;61.09;19.96;47.07;50.36;58.5;52.64;34.76;63.8;100;72.82;45.64;61.27;100;76.91;53.81;61.11;81.82;82.07;82.32
5;Gulf of Mexico;64.76;15.2;48.03;50.53;72;48.31;55.88;66.65;99.53;75.81;52.09;52.31;99.62;78.8;57.98;68.82;83.83;81;78.18
35;Gulf of Thailand;64.89;64.67;62.35;47.97;65.7;68.76;53.53;59.68;92.02;81.1;70.18;56.77;76.32;63.21;50.11;56.96;79.79;80.8;81.8
63;Hudson Bay;70.09;90.47;64.57;59.92;83.52;52.92;95.89;55;100;90.25;80.5;23.02;33;52.48;71.97;91.74;90.27;91.49;92.72
13;Humboldt Current;63.22;73.17;78.67;74.58;74.94;17.39;38.66;38.6;83;88.49;93.98;26.16;94.56;78.89;63.23;68.2;80.58;81.56;82.54
25;Iberian Coastal;68.3;15.75;53.23;56.58;71.01;35.53;53.56;54.41;100;86.34;72.68;74.91;100;78.36;56.72;75.27;81.85;83.63;85.41
59;Iceland Shelf and Sea;66.94;90.92;61.1;60.52;77.75;38.05;56.57;;52.75;69.39;86.03;58.45;73.39;69.38;65.36;84.8;85.32;79.92;74.52
38;Indonesian Sea;61.75;7.38;76.18;84.36;47.47;85.48;58.63;50.21;99;71.12;43.23;22.57;85.89;70.59;55.31;58.99;78.82;76.42;74.01
10;Insular Pacific-Hawaiian;68.94;11.27;51.51;53.16;85.8;44.09;80.05;66.98;99.91;77.6;55.3;45.34;100;81.34;62.68;76.96;85.67;79.69;73.71
58;Kara Sea;66.47;4;31.31;31.35;72.89;4.91;94.3;100;100;93.11;86.23;11.61;93.34;82.85;72.37;80.79;85.9;92.9;99.9
49;Kuroshio Current;65.82;25.18;28.47;29.15;63.19;40.84;94.58;95.34;99.4;78.27;57.14;22.19;93.57;76.22;58.89;68.7;84.36;90.31;96.26
9;Newfoundland-Labrador Shelf;70.09;90.47;64.64;60.04;83.46;52.92;95.89;55;99.61;90.16;80.71;23.15;33;52.5;72.01;91.64;90.18;91.48;92.8
57;Laptev Sea;66.47;4;31.31;31.35;72.89;4.91;94.3;100;100;93.11;86.23;11.61;93.34;82.85;72.37;80.79;85.9;92.9;99.9
26;Mediterranean Sea;64.88;16.21;51.47;61.91;67.52;49.9;46.86;76;91.85;79.61;67.37;54.91;66.53;59.99;53.46;74.96;81.31;87.17;93.02
46;New Zealand Shelf;77.61;100;61.29;48.85;87.58;76;65.73;81.48;100;100;100;61.51;78.85;70.53;62.21;87.33;84.18;84.64;85.1
39;North Australian Shelf;75.82;11.01;45.85;57.47;90.15;56.12;57.96;91.12;100;95.62;91.22;56.45;99.99;86.49;72.97;87.93;86.44;90.46;94.48
17;North Brazil Shelf;63.21;2.86;34.64;39.72;61.49;15.3;84.54;89.5;86.54;75.26;63.98;29.51;90.88;72.87;54.84;64.53;80.63;86.73;92.84
22;North Sea;74.78;37.09;63.94;67.5;83.52;58.8;67.54;71.92;88.74;84.56;80.39;59.96;98.82;80.69;62.56;89.05;86.49;86.98;87.47
40;Northeast Australian Shelf;75.79;11.04;45.96;57.62;90.04;56.27;57.97;90.98;99.97;95.62;91.27;56.47;99.62;86.28;72.93;87.9;86.42;90.42;94.42
7;Northeast U.S. Continental Shelf;69.13;24.68;53.72;54.3;85.41;45.58;82.73;64.95;99.93;79.74;59.57;41.56;88.66;76.45;64.25;79.46;86.45;81.69;76.93
54;Chukchi Sea;67.57;7.23;40.28;41.03;78.62;22.31;87.97;85.34;99.96;86.22;72.5;26.59;96.3;82.18;68.07;79.09;85.8;87.03;88.27
45;Northwest Australian Shelf;75.82;11.01;45.84;57.46;90.16;56.12;57.96;91.13;100;95.62;91.23;56.46;100;86.49;72.97;87.93;86.44;90.46;94.48
21;Norwegian Sea;74.27;96.85;72.8;66.32;88.49;37.05;76.76;55.83;81.37;83.46;85.55;50.77;89.35;78.06;66.78;90.08;88.74;87.53;86.31
51;Oyashio Current;66.45;7.67;30.77;30.89;71.2;11.05;94.77;99.26;100;90.54;81.08;13.51;93.96;82.02;70.1;78.86;85.65;92.48;99.3
11;Pacific Central-American Coastal;59.14;20.11;50.81;53.82;59.17;41.6;45.07;54.18;99.73;80.18;60.62;44.32;95.4;75.13;54.84;61.39;82.48;79.53;76.59
14;Patagonian Shelf;62.27;0.04;43.13;43.14;74.21;50.44;;;83.19;81.22;79.25;32.42;59.14;61.88;64.61;65.79;76.49;86.83;97.16
33;Red Sea;55.42;16.13;60.81;67.12;62.63;20.39;43.6;81.61;82.63;77.91;73.19;17.37;29.78;39.59;49.39;63.53;79.3;86.72;94.15
8;Scotian Shelf;70.09;90.47;64.6;59.97;83.5;52.92;95.89;55;99.85;90.22;80.58;23.07;33;52.49;71.99;91.7;90.23;91.49;92.75
50;Sea of Japan - East Sea;65.1;21.17;32.69;29.37;67.36;31.56;95.76;97.46;94.88;84;73.13;17.38;83.39;74.6;65.8;69.55;83.41;90.63;97.86
52;Sea of Okhotsk;66.47;4.48;31.24;31.29;72.67;5.71;94.36;99.9;100;92.77;85.56;11.86;93.42;82.74;72.07;80.54;85.87;92.84;99.82
31;Somali Coastal Current;55.11;0.11;69.92;70.19;51.41;44.19;46.28;56.99;97.23;96.55;95.87;9.39;40.07;47.52;54.96;54.89;77.59;73.56;69.54
15;South Brazil Shelf;65.47;4.05;54.95;64.49;62.48;13.43;85.89;93.66;100;80.08;60.17;30.21;99.48;77.36;55.22;70.26;81.5;87.02;92.54
36;South China Sea;60.4;36.16;57.2;50.91;59.68;78.7;58.38;57.43;83.94;74.37;64.79;30.96;61.46;57.57;53.69;50.31;79.74;79.56;79.39
43;Southwest Australian Shelf;75.82;11.01;45.84;57.46;90.16;56.12;57.96;91.13;100;95.62;91.23;56.46;100;86.49;72.97;87.93;86.44;90.46;94.48
42;Southeast Australian Shelf;75.82;11.01;45.84;57.46;90.16;56.12;57.96;91.13;100;95.62;91.23;56.46;100;86.49;72.97;87.93;86.44;90.46;94.48
6;Southeast U.S. Continental Shelf;68.49;9.56;56.06;57.46;83.69;41.17;73.3;67.17;99.37;78.45;57.53;53.65;85.36;73.67;61.98;77.58;86.07;80.13;74.2
37;Sulu-Celebes Sea;60.13;12.95;75.13;86.33;55.95;87.41;56.33;58.49;64.83;54.85;44.86;26.76;60.93;57.38;53.85;51.99;78.84;77;75.15
53;West Bering Sea;66.64;4.51;32.71;32.87;73.79;7.63;93.31;97.7;99.99;92.03;84.08;13.96;93.8;82.75;71.7;80.52;85.88;91.98;98.08
44;West-Central Australian Shelf;75.82;11.01;45.84;57.46;90.16;56.12;57.96;91.13;100;95.62;91.23;56.46;100;86.49;72.97;87.93;86.44;90.46;94.48
48;Yellow Sea;63.9;83.62;63.02;27.33;78.14;82.07;49.75;54.24;96.95;94.52;92.1;31.94;42.28;51.19;60.1;40.31;79.82;82.1;84.37
