LME no;All data for 100km coast;SHELF AREA (km2);Ave Annual Catch 2001-10(t);Ave Annual LV (2001-10) 2013 US$;Proportion of collapsed and overexploited from stock status plots (10-yr ave);Ave tourism revenues (2004-2013) 2013 US$;NLDI 2006_LME; Average % LME fish contribution to animal protein of LME coastal countries ;Ave % LME Tourism Contribution to GDPs of LME Coastal Countries;;
1;East Bering Sea;808921;1013585;1151820959;0.4611;4240125385;0.602200000;7.40%;8.40%;;
2;Gulf of Alaska;276902;800415;633863884;0.4757;14778546015;0.592943633;8.30%;6.10%;;
3;California Current;108358;684135;562754489;0.5222;2.27106E+11;0.576635755;7.40%;8.50%;;
4;Gulf Of California;72646;200748;206088671;0.4591;12873651360;0.758200000;7.80%;13.80%;;
5;Gulf Of Mexico;554183;799817;1664680557;0.5082;2.52343E+11;0.641581035;7.60%;9.00%;;
6;Southeast U.S. Continental Shelf;125639;53945;247412741;0.5236;1.6416E+11;0.542035670;7.40%;8.60%;;
7;Northeast U.S.  Continental Shelf;264238;849101;3872613421;0.7049;2.03155E+11;0.567908736;7.40%;8.40%;;
8;Scotian Shelf;286380;334475;613964143;0.6461;5173178265;0.674000000;9.70%;5.20%;;
9;Newfoundland-Labrador Shelf;378310;337465;1154435733;0.5978;1483428330;0.679410127;9.70%;5.20%;;
10;Insular Pacific - Hawaiian;11121;6503;24041807;0.74;6096412200;0.536453000;7.40%;8.40%;;
11;Pacific Central - American Coastal;197941;681242;672041692;0.5125;48482410060;0.825299961;6.90%;11.90%;;
12;Caribbean Sea;488035;329378;810509428;0.5413;90454384760;0.749897916;8.70%;18.00%;;
13;Humboldt Current;239011;8072161;5352727743;0.567;25715476076;0.775305960;16.20%;8.50%;;
14;Patagonian Shelf;1005659;1186533;2486143862;0.492;41973814380;0.703676322;3.00%;10.00%;;
15;South Brazil Shelf;277790;121827;223115104;0.3727;1.13067E+11;0.680500000;5.40%;9.80%;;
16;East Brazil Shelf;152800;128667;218434686;0.3689;25957913020;0.759200000;5.40%;9.80%;;
17;North Brazil Shelf;459537;291845;560943311;0.3775;6540765380;0.866503777;8.70%;9.50%;;
18;Canadian Eastern Arctic - West Greenland;132981;224833;386045724;0.6022;123602913;0.827443111;34.20%;3.50%;;
19;Greenland Sea;110596;166190;87075441;0.7117;39610000;0.650489000;39.50%;0.00%;;
20;Barents Sea;894940;873258;556441114;0.5728;18288744573;0.848386675;15.90%;6.40%;;
21;Norwegian Sea;61883;1410767;469878820;0.5467;6315183200;0.808600000;23.40%;7.40%;;
22;North Sea;571696;2055090;2497061157;0.6117;3.38271E+11;0.662520364;10.50%;10.00%;;
23;Baltic Sea;381369;689863;235820699;0.5727;89034004337;0.693030505;11.80%;8.50%;;
24;Celtic-Biscay Shelf;510468;1065478;2741868138;0.5465;2.33075E+11;0.591278264;10.00%;11.40%;;
25;Iberian Coastal ;51855;290838;685837650;0.6024;96028430736;0.708334421;20.30%;15.00%;;
26;Mediterranean;510136;1067407;3430991381;0.3233;4.78729E+11;0.730065098;12.20%;13.10%;;
27;Canary Current;176053;2137533;2624422433;0.4948;39267538357;0.815723154;25.10%;16.20%;;
28;Guinea Current;273884;903748;1330357127;0.4083;4797874361;0.859900000;41.80%;4.90%;;
29;Benguela Current;196486;1065963;1202281658;0.5209;6130545447;0.867049821;16.40%;7.80%;;
30;Agulhas Current;314044;317781;576439193;0.5079;12598037285;0.922793268;19.90%;8.70%;;
31;Somali Coastal Current;60382;44440;102869730;0.5328;943984859;0.909655219;13.20%;12.20%;;
32;Arabian Sea;662964;3187576;4130753748;0.3212;53384607318;0.774994487;11.70%;7.20%;;
33;Red Sea;167130;113233;230291568;0.3261;12133838451;0.813549301;9.20%;6.90%;;
34;Bay of Bengal;625959;3802945;5891137757;0.2355;57222138090;0.804507664;32.40%;14.60%;;
35;Gulf of Thailand;382748;757007;1143028121;0.2388;33127745647;0.800357994;38.00%;17.00%;;
36;South China Sea;1476285;6298634;10286720935;0.3589;2.34946E+11;0.801915650;27.50%;12.10%;;
37;Sulu - Celebes Sea;204923;1151491;1596199394;0.2741;14403345299;0.861852649;38.90%;11.50%;;
38;Indonesian Sea;741098;1481057;1912412118;0.2663;53152730017;0.824164826;54.50%;10.50%;;
39;North Australian Shelf;714205;60271;275433812;0.3024;33728586210;0.703300000;8.30%;11.70%;;
40;Northeast Australian Shelf;292248;18727;86133841;0.5155;32442754171;0.734037234;8.60%;11.70%;;
41;East Central Australian Shelf;63670;14023;70474497;0.6086;50718787520;0.614800000;8.30%;11.70%;;
42;Southeast  Australian Shelf;212928;30505;220709711;0.4779;38113154290;0.648100000;8.30%;11.70%;;
43;Southwest Australian Shelf;313414;33774;242130989;0.3709;25581584710;0.614500000;8.30%;11.70%;;
44;West -  Central Australian Shelf;87480;20362;173578189;0.4285;15953310210;0.625791000;8.30%;11.70%;;
45;Northwest Australian Shelf;349545;50892;199870040;0.311;15953310210;0.625791000;8.30%;11.70%;;
46;New Zealand Shelf;217541;327559;852738287;0.5369;24639700000;0.777900000;10.60%;16.30%;;
47;East China Sea;566441;3721228;6954896024;0.4839;1.46489E+11;0.706434047;24.30%;9.10%;;
48;Yellow Sea;430451;2171081;4041976555;0.4519;2.08962E+11;0.683789002;25.80%;9.80%;;
49;Kuroshio;95629;690174;1617466382;0.5375;1.02053E+11;0.661017203;36.40%;6.60%;;
50;Sea of Japan / East Sea;200776;1197240;2353242447;0.4035;80112423060;0.721823488;36.90%;6.60%;;
51;Oyashio Current;48076;586036;952399462;0.2996;14148758052;0.705871899;36.90%;6.70%;;
52;Sea of Okhotsk;627046;2590427;4548752505;0.306;15230970720;0.761239655;27.10%;6.60%;;
53;West Bering;293092;391737;714896683;0.3682;378077280;0.806275000;14.00%;6.10%;;
54;Northern Bering -  Chukchi Seas;559707;294581;327890066;0.4229;4759031758;0.708770816;10.40%;8.40%;;
55;Beaufort Sea;86535;224;417730;0.225;16298971350;0.684191558;8.90%;6.10%;;
56;East Siberian Sea;911105;1300;1344326;0.2;1200951360;0.955444000;14.00%;6.10%;;
57;Laptev Sea;499185;2835;2989354;0;3780772800;0.823200000;14.00%;6.10%;;
58;Kara Sea;755069;895;826300;0.5417;5126283120;0.852200000;14.00%;6.10%;;
59;Iceland Shelf and Sea;177654;1179096;488226129;0.6085;471060000;0.804400000;29.10%;19.30%;;
60;Faroe Plateau;22550;304840;228384131;0.4437;264520000;0.846237000;43.20%;0.10%;;
61;Antarctic;491798;11759;2362484;0.4517;1229157306;;;;;
62;Black Sea;145841;331875;600629668;0.5014;43085614652;0.792886287;8.90%;10.80%;;
63;Hudson Bay Complex;1058544;1025;2202056;1;19522395900;0.683000000;9.70%;5.20%;;
64;Central Arctic;1535;495;1985753;0.85;17277477680;;;;;
65;Aleutian Is;587167;156131;199506838;0.4459;36286225;0.602210000;7.40%;8.40%;;
66;Canadian High Arctic - North Greenland;154024;241;454337;0.5;216011710;0.821280820;10.80%;4.30%;;
;;;;;;;;;;;
